number;sboid;validFrom;validTo
#0146;100028;01.01.1900;31.12.2099
#0148;101028;29.03.2021;31.12.2099
#0148;100105;01.01.1900;31.12.2020
#0148;101131;01.01.1900;31.12.2099
#0151;100045;01.01.1900;31.12.2099
#0151;100597;01.01.1900;31.12.2099
#0152;100047;01.01.1900;31.12.2099
#0154;100053;01.01.1900;31.12.2099
#0154;100664;01.01.1900;31.12.2099
#0168;100655;01.01.1900;31.12.2099
#0170;100066;01.01.1900;31.12.2099
#0170;100649;01.01.1900;31.12.2099
#0171;100105;01.01.2021;31.12.2099
#0171;100064;01.01.1900;31.12.2099
#0171;101183;01.01.1900;31.12.2099
#0173;100345;01.01.1900;31.12.2099
#0180;100029;01.01.1900;31.12.2099
#0180;100070;01.01.1900;31.12.2099
#0180;100544;01.01.1900;31.12.2099
#0180;100650;01.01.1900;31.12.2099
#0180;101209;01.01.1900;31.12.2099
#0182;100637;01.01.1900;31.12.2099
#0183;100013;01.07.2018;31.12.2099
#0183;100073;01.07.2018;31.12.2099
#0183;100525;01.07.2018;31.12.2099
#0183;100698;01.07.2018;31.12.2099
#0185;100638;01.01.1900;31.12.2099
#0201;100110;01.01.1900;31.12.2099
#0201;101263;01.01.1900;31.12.2099
#0204;100079;01.01.1900;31.12.2099
#0206;100134;01.01.1900;31.12.2099
#0207;100102;01.01.1900;31.12.2099
#0210;100098;01.01.1900;31.12.2099
#0212;100023;01.01.1900;31.12.2099
#0212;100099;01.01.1900;31.12.2099
#0212;100104;01.01.1900;31.12.2099
#0212;100126;01.01.1900;31.12.2099
#0213;100109;01.01.1900;31.12.2099
#0213;101262;01.01.1900;31.12.2099
#0216;100513;01.01.1900;31.12.2099
#0219;101770;14.10.2019;31.12.2099
#0219;100121;01.01.1900;31.12.2099
#0219;100128;01.01.1900;31.12.2099
#0219;101020;01.01.1900;31.12.2099
#0219;101021;01.01.1900;31.12.2099
#0219;101022;01.01.1900;31.12.2099
#0301;100615;01.01.1900;31.12.2099
#0303;100622;01.01.1900;31.12.2099
#0303;100708;01.01.1900;31.12.2099
#0306;100081;01.01.1900;31.12.2099
#0306;100523;01.01.1900;31.12.2099
#0306;100626;01.01.1900;31.12.2099
#0316;100680;01.01.1900;31.12.2099
#0327;100538;01.01.1900;31.12.2099
#0334;100111;01.01.1900;31.12.2099
#0334;100625;01.01.1900;31.12.2099
#0335;101138;01.01.1900;31.12.2099
#0335;101235;01.01.1900;31.12.2099
#0338;100518;01.01.1900;31.12.2099
#0340;100640;01.01.1900;31.12.2099
#0346;101130;01.01.1900;31.12.2099
#0346;100648;01.01.1900;31.12.2099
#0351;100612;01.01.1900;31.12.2099
#0356;100611;01.01.1900;31.12.2099
#0357;100618;01.01.1900;31.12.2099
#0358;100631;01.01.1900;31.12.2099
#0361;100574;01.01.1900;31.08.2019
#0363;100642;01.01.1900;31.12.2099
#0365;100533;01.01.1900;31.12.2099
#0366;101156;01.01.1900;31.12.2099
#0403;100120;01.01.1900;31.12.2099
#0403;100197;01.01.1900;31.12.2099
#0406;101105;01.01.1900;31.12.2099
#0407;100082;01.01.1900;31.12.2099
#0410;100090;01.01.1900;31.12.2099
#0417;100085;01.06.2018;31.12.2099
#0424;100088;01.01.1900;31.12.2099
#0431;100094;01.01.1900;31.12.2099
#0433;100096;01.01.1900;31.12.2099
#0437;100097;01.01.1900;31.12.2099
#0438;100130;01.01.1900;31.12.2099
#0446;100133;01.01.1900;31.12.2099
#0448;100107;01.01.1900;31.12.2099
#0452;100093;01.01.1900;31.12.2099
#0453;100092;01.01.1900;31.12.2099
#0457;100136;01.01.1900;31.12.2099
#0460;100108;01.01.1900;31.12.2099
#0470;100116;01.01.1900;31.12.2099
#0472;100276;07.02.2020;31.12.2099
#0472;101042;01.01.1900;31.12.2099
#0473;100115;01.01.1900;31.12.2099
#0474;101031;01.01.1900;31.12.2099
#0475;100117;01.01.1900;31.12.2099
#0479;100123;01.01.1900;31.12.2099
#0480;100125;01.01.1900;31.12.2099
#0488;100129;01.01.1900;31.12.2099
#0489;100135;01.01.1900;31.12.2099
#0491;100089;01.01.1900;31.12.2099
#0502;100639;01.01.1900;31.12.2099
#0507;100077;01.01.1900;31.12.2099
#0507;100078;01.01.1900;31.12.2099
#0507;100688;01.01.1900;31.12.2099
#0512;100568;09.12.2018;31.12.2099
#0512;101712;28.08.2018;31.12.2099
#0515;100599;01.01.1900;31.12.2099
#0518;100601;01.01.1900;31.12.2099
#0519;100100;01.01.1900;31.12.2099
#0519;100122;01.01.1900;31.12.2099
#0519;101713;04.09.2018;31.12.2099
#0522;101132;01.01.1900;31.12.2099
#0522;100754;01.01.1900;31.12.2099
#0523;1017081;15.08.2018;31.12.2099
#0523;100619;01.01.1900;31.12.2099
#0532;100595;01.01.1900;31.12.2099
#0536;100567;01.01.1900;31.12.2099
#0537;100684;01.01.1900;31.12.2099
#0539;100635;01.01.1900;31.12.2099
#0539;100645;13.12.2019;31.12.2099
#0542;100682;01.01.1900;31.12.2099
#0543;100675;01.01.1900;31.12.2099
#0544;100681;01.01.1900;31.12.2099
