SBOID;SAID;DescriptionDE;DescriptionFR;DescriptionIT;DescriptionEN;AbbreviationDE;AbbreviationFR;AbbreviationIT;AbbreviationEN;OrganisationNumber;ContactEnterpriseMail;validFrom;validTo;types
ch:1:sboid:101714123;101714123;Baden-Württemberg-Tarif GmbH;Baden-Württemberg-Tarif GmbH;Baden-Württemberg-Tarif GmbH;Baden-Württemberg-Tarif GmbH;BW-Tarif;BW-Tarif;BW-Tarif;BW-Tarif;355;;2018-11-22;2099-12-31;95
ch:1:sboid:100251;100251;Remontées Méc. du Wildhorn Anzère;Remontées Méc. du Wildhorn Anzère;Remontées Méc. du Wildhorn Anzère;Remontées Méc. du Wildhorn Anzère;RMA-tapm;RMA-tapm;RMA-tapm;RMA-tapm;294;;1900-01-01;2019-05-31;10
ch:1:sboid:100251;100251;Remontées Méc. du Wildhorn Anzère;Remontées Méc. du Wildhorn Anzère;Remontées Méc. du Wildhorn Anzère;Remontées Méc. du Wildhorn Anzère;RMA;RMA;RMA;RMA;294;;2019-06-01;2099-12-31;10
ch:1:sboid:100527;100527;Transports urbains delémontais;Transports urbains delémontais;Transports urbains delémontais;Transports urbains delémontais;TUD;TUD;TUD;TUD;725;;1900-01-01;2018-12-12;30
ch:1:sboid:100527;100527;Transports Urbains Delémontains;Transports Urbains Delémontains;Transports Urbains Delémontains;Transports Urbains Delémontains;TUD;TUD;TUD;TUD;725;;2018-12-13;2099-12-31;30
ch:1:sboid:100617;100617;Transports Publics du Chablais (Bus);Transports Publics du Chablais (Bus);Transports Publics du Chablais (Bus);Transports Publics du Chablais (Bus);TPC Auto;TPC Auto;TPC Auto;TPC Auto;818;;2019-06-01;2099-12-31;30
ch:1:sboid:100042;100042;Transports de Martigny et Régions (mc);Transports de Martigny et Régions (mc);Transports de Martigny et Régions (mc);Transports de Martigny et Régions (mc);TMR-mc;TMR-mc;TMR-mc;TMR-mc;61;;1900-01-01;2099-12-31;10
ch:1:sboid:101715;101715;Seven25;Seven25;Seven25;Seven25;Seven25;Seven25;Seven25;Seven25;979;;2018-12-01;2099-12-31;95
ch:1:sboid:100347;100347;Ausflugsverkehr Chamonix;Ausflugsverkehr Chamonix;Ausflugsverkehr Chamonix;Ausflugsverkehr Chamonix;SNCF Chx;SNCF Chx;SNCF Chx;SNCF Chx;426;;1900-01-01;2003-12-31;50
ch:1:sboid:101811;101811;Association neuchâteloise des Amis du Tramway ANAT;Association neuchâteloise des Amis du Tramway ANAT;Association neuchâteloise des Amis du Tramway ANAT;Association neuchâteloise des Amis du Tramway ANAT;ANAT;ANAT;ANAT;ANAT;3271;;2020-09-23;2099-12-31;32
