swissLineNumber;lineType;paymentType;number;alternativeName;combinationName;longName;colorFontRgb;colorBackRgb;colorFontCmyk;colorBackCmyk;icon;description;validFrom;validTo;businessOrganisation;comment
b1.10.1;ORDERLY;INTERNATIONAL;1.10.1;alt name;comb name;Talstation - Bergstation$$ Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Villars-sur-Glâne;2022-01-25;2022-03-01;sbb;Comment
b1.10.2;TEMPORARY;INTERNATIONAL;1.10.2;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;25.01.2022;01.03.2022;sbb;Comment
b1.10.3;ORDERL;INTERNATIONAL;1.10.3;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.4;ORDERLY;INTERNATIONA;1.10.4;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.5;ORDERLY;INTERNATIONAL;1.10.5;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2021-03-01;sbb;Comment
b1.10.6;ORDERLY;INTERNATIONAL;1.10.6;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000asdsad;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.7;ORDERLY;INTERNATIONAL;1.10.7;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000asdsadas;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.8;ORDERLY;INTERNATIONAL;1.10.8;alt namealt namealt namealt namealt namealt namealt namealt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.9;ORDERLY;INTERNATIONAL;1.10.8;alt name;comb namecomb namecomb namecomb namecomb namecomb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.1;ORDERLY;INTERNATIONAL;1.10.9;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - InnertkirchenMeiringen - InnertkirchenMeiringen - InnertkirchenMeiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.10;ORDERLY;INTERNATIONAL;1.10.10;alt 是;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
b1.10.11;ORDERLY;INTERNATIONAL;1.10.11;alt name;comb name;Talstation - Bergstation Ersatzbus;#FF0000;#FF0000;10,100,0,50;10,100,0,50;https://commons.wikimedia.org/wiki/File:Metro_de_Bilbao_L1.svg;Meiringen - Innertkirchen;2022-01-25;2022-03-01;sbb;Comment
