swissSublineNumber;mainLineSwissLineNumber;sublineType;description;number;longName;paymentType;validFrom;validTo;businessOrganisation
b1.SL1.1;b1.10.1;TECHNICAL;Villars-sur-Glâne;0.1.1;Talstation - Bergstation$$ Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
b1.SL1.2;b1.10.1;TECHNICAL;Meiringen - Innertkirchen;0.1.2;Talstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
b1.SL1.1;b1.10.2;TECHNICAL;Meiringen - Innertkirchen;0.1.3;Talstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
b1.SL1.4;b1.10.1;TECHNICA;Meiringen - Innertkirchen;0.1.4;Talstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
b1.SL1.5;b1.10.2;TECHNICAL;Meiringen - Innertkirchen;0.1.5;Talstation - Bergstation Ersatzbus;INTERNATIONA;2022-02-01;2022-02-25;sbb
b1.SL1.6;b1.10.2;TECHNICAL;Meiringen - Innertkirchen;0.1.6;Talstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2021-02-25;sbb
b1.SL1.7;b1.10.2;TECHNICAL;Meiringen - Innertkirchen;0.1.1;Talstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
b1.SL1.8;b1.10.2;TECHNICAL;Meiringen - Innertkirchen;0.1.8;Talstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbbsbb
b1.SL1.9;b1.10.2;TECHNICAL;Meiring我en - Innertkirchen;0.1.9;Talstation - Bergstation ErsatzbusTalstation - Bergstation ErsatzbusTalstation - Bergstation ErsatzbusTalstation - Bergstation ErsatzbusTalstation - Bergstation ErsatzbusTalstation - Bergstation ErsatzbusTalstation - Bergstation ErsatzbusTalstation - Bergstation Ersatzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
b1.SL1.10;b1.10.50;TECHNICAL;Meiringen - Innertkirchen;0.1.10;Talstation - Bérgstation Ersâtzbus;INTERNATIONAL;2022-02-01;2022-02-25;sbb
